id	governor	governor_pos	preposition	relation_type	pattern	runtime_role	chargeable_allowed	absence_is_error	source	confidence	status
c313d16ab270955c	a	verb	bit	phrasal_or_governance_pattern	a bit of sth	detector_support_if_dependency_matches	True	False	Oxford Phrase List	0.85	extracted_needs_review
908d8298c1270caf	a	verb	couple	phrasal_or_governance_pattern	a couple of sth	detector_support_if_dependency_matches	True	False	Oxford Phrase List	0.85	extracted_needs_review
de7305e12323e5e0	a	verb	great	phrasal_or_governance_pattern	a great deal of sth	detector_support_if_dependency_matches	True	False	Oxford Phrase List	0.85	extracted_needs_review
b16b33d0b0cde190	a	verb	large	phrasal_or_governance_pattern	a large number of sth	detector_support_if_dependency_matches	True	False	Oxford Phrase List	0.85	extracted_needs_review
a96ff59d6a13589d	a	verb	lot	phrasal_or_governance_pattern	a lot of sth	detector_support_if_dependency_matches	True	False	Oxford Phrase List	0.85	extracted_needs_review
d2aa7e1035218569	a	verb	means	phrasal_or_governance_pattern	a means of sth	detector_support_if_dependency_matches	True	False	Oxford Phrase List	0.85	extracted_needs_review
c533c9fde08acccb	a	verb	number	phrasal_or_governance_pattern	a number of sth	detector_support_if_dependency_matches	True	False	Oxford Phrase List	0.85	extracted_needs_review
1a19caef61f39b70	a	verb	range	phrasal_or_governance_pattern	a range of sth	detector_support_if_dependency_matches	True	False	Oxford Phrase List	0.85	extracted_needs_review
22dd9a3f4874eb1a	a	verb	variety	phrasal_or_governance_pattern	a variety of sth	detector_support_if_dependency_matches	True	False	Oxford Phrase List	0.85	extracted_needs_review
b304e16f1fc69e53	a	verb	wide	phrasal_or_governance_pattern	a wide range of sth	detector_support_if_dependency_matches	True	False	Oxford Phrase List	0.85	extracted_needs_review
f30d4699ac654396	abandon	verb	for	ocd_preposition_frame	for	detector_support_if_dependency_matches	True	False	Oxford Collocations Dictionary parsed v3	0.9	clean
f0438bcccf6881a8	abase	verb	with	verbnet_preposition_frame	NP:Agent V NP:Patient PREP:with NP:Instrument	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
e1e66881c5d01a39	abate	verb	with	verb_prep	NP:Agent V NP:Patient PREP:with NP:Instrument	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
15cb5b151a13f523	abate	verb	with	verbnet_preposition_frame	NP:Agent V NP:Patient PREP:with NP:Instrument	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
ddc117a0ebf9ff1c	abbreviate	verb	with	verbnet_preposition_frame	NP:Agent V NP:Patient PREP:with NP:Instrument	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
c6033d2dc9ca5402	abduct	verb	for	verbnet_preposition_frame	NP:Agent V NP:Theme PREP:for NP:Beneficiary	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
39ff8df90d923916	abduct	verb	for	verbnet_preposition_frame	NP:Agent V NP:Theme PREP NP:Source PREP:for NP:Beneficiary	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
