id	governor	governor_pos	complement_pattern	relation_type	runtime_role	chargeable_allowed	absence_is_error	source	confidence	status
7882f953ebb61421	abandon	verb	direct_object	verb_governance_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
627bf40d0b551339	abandon	verb	direct_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
c53c10c46658da2e	abandon	verb	direct_object|prep_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
21c4ba12d3c81bc2	abase	verb	direct_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
8f94bd08a4418bae	abase	verb	direct_object|prep_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
1daf5cbfd5333cc5	abash	verb	direct_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
3d71d3d551a72d37	abash	verb	other_verbnet_frame	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
8f185722b0039a85	abate	verb	direct_object	verb_governance_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
54a4b9e9e3db86a0	abate	verb	direct_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
250953d81c5b719a	abate	verb	direct_object|prep_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
23ed4606ddcfe365	abate	verb	other_verbnet_frame	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
3f734b8bc772ada3	abbreviate	verb	direct_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
3a1e2f9bb08a7478	abbreviate	verb	direct_object|prep_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
6e4d434e75a2d93e	abbreviate	verb	other_verbnet_frame	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
437fb0b82abd1737	abduct	verb	direct_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
2745ca313ee8d8a0	abduct	verb	direct_object|prep_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
95de74fa4bc3ac6f	abhor	verb	direct_object	verb_governance_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
fbf1666109f10302	abhor	verb	direct_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
ddcc1bc36b3b9745	abhor	verb	direct_object|gerund_or_ing_complement	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
c536dbaf46c25c70	abhor	verb	direct_object|prep_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
b28ebf7c3ab98704	abhor	verb	direct_object|that_clause	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
08a159b459d46a9c	abhorrent	adjective	sth	ocd_verb_complement_pattern	detector_support_if_dependency_matches	True	False	Oxford Collocations Dictionary parsed v3	0.82	needs_dependency_match
e8a7b27a423bd961	abide_by	verb	direct_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
c70bd7ee4e91831a	abnegate	verb	direct_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
9ac5289e070eff55	abnegate	verb	direct_object|prep_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
e5063ff74bb59942	abnegate	verb	prep_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
51218263df4b5c2a	abolish	verb	direct_object	verb_governance_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
e9e6236572067c37	abolish	verb	direct_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
ab4ac7cd53ff0692	abolish	verb	direct_object|prep_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
745c4e0082f172c2	abrade	verb	direct_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
a101b01aba08b9ee	abrade	verb	direct_object|prep_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
7e8876865a1e176e	abrade	verb	other_verbnet_frame	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
4d1aa8aad0aa3c8f	abridge	verb	direct_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
6254c5dcfc4d043c	abridge	verb	direct_object|prep_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
6f9073137e1c6ad7	abridge	verb	other_verbnet_frame	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
1ec9592a03116cb4	absorb	verb	direct_object	verb_governance_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
5d2910786a1582cc	absorb	verb	direct_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
5487331f1fcd4b26	absorb	verb	direct_object|prep_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
cd8cf72eb87d5f4d	abstain	verb	intransitive	verb_governance_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
6d04ed1ca90a43ca	abstain	verb	intransitive	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
780525e9c04c6454	abstain	verb	prep_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
a8cff2457383dcf5	abstain	verb	prep_object|gerund_or_ing_complement	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
37355aecd8d55425	abstract	verb	direct_object	verb_governance_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
d4dba3c6a6d0d709	abstract	verb	direct_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
065fe15d3f6d0a41	abstract	verb	direct_object|prep_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
852fa2679f7624af	absurd	adjective	sth	ocd_verb_complement_pattern	detector_support_if_dependency_matches	True	False	Oxford Collocations Dictionary parsed v3	0.82	needs_dependency_match
6a42480c3277f5bf	abuse	verb	direct_object	verb_governance_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
cc2506252182149d	abuse	verb	direct_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
ab522acc5f21eed5	abuse	verb	direct_object|prep_object	verbnet_complement_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
ed02630b30979d53	accelerate	verb	direct_object	verb_governance_frame	detector_support_if_dependency_matches	True	False	VerbNet XML	0.85	verified_external_resource
